x,y,z,type,volume
3343.64,965.24,0,Cone,2490.5
3411.07,888.992,0,MG,3382.0
3428.782,602.77,0,Rod,2240.0
3526.1440000000002,388.352,0,Rod,1502.0
3682.944,207.144,0,Rod,1215.0
4013.068,44.172,0,BC,3982.0
4810.908,-179.912,0,Rod,2796.5
5219.17,15.984,0,MG,5224.5
5408.91,46.764,0,Rod,4231.5
5626.946,263.774,0,AC,4025.5
5881.702,449.14,0,AC,2665.0
9583.438,1808.3319999999999,0,Rod,2727.5
10819.116,1377.552,0,AC,4514.5
10836.936,1444.658,0,RGC,5280.5
11992.942,1856.538,0,MG,416.0
12295.85,3133.38,0,AC,5766.0
12271.766,2862.208,0,AC,6728.5
3281.378,7401.366,0,Rod,2293.5
3465.178,6997.748,0,Rod,2273.0
4890.666,6675.276,0,Rod,1432.0
5447.196,6661.56,0,Rod,3002.5
5634.56,6815.282,0,AC,4065.5
5917.504,7240.662,0,AC,4639.0
5837.908,7040.608,0,AC,4014.5
6100.926,8067.446,0,AC,4154.5
6091.692,8282.026,0,BC,4201.0
6211.826,8142.452,0,Rod,3994.0
-2448.53,5795.75,0,BC,5277.5
-2271.048,5382.412,0,Rod,4466.0
-2367.276,5593.806,0,HC,4132.5
-2189.74,5245.306,0,Rod,3604.0
-2145.622,5206.442,0,Rod,4062.5
-1987.526,5088.02,0,BC,2649.0
-1586.068,4835.1,0,Rod,3239.5
-600.146,4910.16,0,Rod,1218.5
-530.934,4926.036,0,Rod,2102.5
439.204,6260.48,0,AC,5878.5
425.758,6523.984,0,AC,4069.0
7016.524,-5736.712,0,BC,3485.0
7223.22,-5760.904,0,AC,8644.5
8258.968,-5677.906,0,MG,2636.5
8415.228,-5604.466,0,BC,3677.5
8427.324,-5589.524,0,BC,3097.0
8828.89,-5186.014,0,AC,3168.0
2218.36,-7180.236,0,BC,3855.5
2212.312,-7220.396,0,Rod,3091.5
3280.622,-5250.528,0,AC,4578.5
-452.472,-161.822,0,AC,3360.5
-484.602,-264.784,0,AC,2166.5
3410.692,858.32,0,AC,2689.0
3527.332,369.02,0,Rod,2461.0
3683.322,199.206,0,Rod,2071.0
4015.66,63.666,0,AC,4558.0
4277.49,18.036,0,RGC,9053.5
4462.1,-199.66,0,Rod,2701.5
5152.874,22.896,0,RGC,2109.0
5409.558,30.996,0,Rod,2828.5
5417.388,-4.358000000000004,0,Rod,2680.5
6297.47,1403.958,0,AC,5257.5
9743.262,1597.748,0,Rod,1107.5
9813.878,1622.248,0,BC,4033.5
10820.142,1386.084,0,AC,5435.5
12295.958,3052.758,0,AC,2786.5
12271.55,2851.57,0,AC,5342.0
12252.812,2261.452,0,MG,2357.0
3607.776,6876.032,0,Rod,5402.0
5251.894,6693.528,0,Rod,3895.5
5917.936,7230.456,0,AC,2880.0
5837.8,7030.996,0,AC,3887.0
6106.38,8208.116,0,BC,3352.5
6093.096,8250.382,0,MG,4393.5
6211.556,8092.61,0,Rod,4194.5
-2448.368,5806.118,0,MG,2025.0
-2271.48,5365.078,0,Rod,4527.5
-2188.012,5304.274,0,AC,4443.5
-2142.598,5199.314,0,Rod,4935.0
-1987.418,5078.408,0,BC,1253.5
-1584.61,4817.874,0,Rod,4463.0
-1113.384,4770.964,0,Cone,1857.0
-598.04,4913.67,0,Rod,1605.5
-516.678,4924.146,0,Rod,2499.5
401.528,6508.0,0,RGC,5754.0
472.576,6142.938,0,AC,3021.0
440.014,6302.222,0,AC,4359.5
7018.252,-5712.142,0,AC,3325.5
7225.164,-5753.776,0,AC,3138.5
8428.998,-5583.152,0,AC,3555.0
8655.89,-5381.64,0,MG,2074.0
8618.792,-5536.172,0,Rod,2663.0
9012.096,-4971.758,0,Rod,2923.5
2220.898,-7171.11,0,AC,6300.0
2213.824,-7239.836,0,Rod,3430.0
-476.826,-373.864,0,MG,1862.5
-553.83,-588.93,0,AC,4261.0
-391.144,-77.258,0,AC,4737.0
-356.584,81.0,0,AC,3603.0
-359.122,212.906,0,AC,3985.0
3369.236,794.076,0,Rod,4557.0
3411.772,848.978,0,AC,2397.5
3431.806,588.244,0,Rod,4141.0
3527.71,408.87199999999996,0,Rod,3113.5
3617.388,477.81399999999996,0,AC,3029.5
4009.234,-42.914000000000016,0,Rod,5445.5
4016.254,13.392,0,Rod,3750.5
4463.234,-192.37,0,Rod,3311.5
4610.746,-139.196,0,BC,6753.5
4812.744,-130.178,0,AC,4795.5
5218.954,29.7,0,AC,3067.5
5418.252,4.822000000000003,0,Rod,1489.0
6300.116,1409.99,0,AC,3125.5
6299.414,1392.024,0,AC,2253.5
9409.612,2168.156,0,Rod,1910.5
9585.544,1800.718,0,Rod,1150.5
9814.904,1638.934,0,AC,3775.0
10820.682,1369.992,0,BC,3117.0
12296.12,3106.596,0,AC,1498.5
12272.684,2882.836,0,RGC,4344.5
4228.296,6619.44,0,AC,4070.5
4676.464,6640.77,0,Rod,1094.0
5046.71,6687.804,0,Rod,1721.5
5257.402,6691.152,0,Rod,1915.5
5582.79,6847.25,0,RGC,2395.5
5640.176,6825.542,0,AC,4719.5
5918.962,7211.556,0,AC,4285.0
5838.34,7131.004,0,RGC,4181.0
6106.488,8192.51,0,RGC,3425.0
6094.014,8286.724,0,BC,2219.0
-2362.254,5585.058,0,BC,2871.5
-2188.012,5295.526,0,BC,3029.0
-2143.246,5191.214,0,Rod,2410.0
-1584.34,4809.558,0,Rod,3494.5
-1113.1680000000001,4765.564,0,Rod,2391.0
-593.342,4910.97,0,Rod,1471.5
-497.238,4933.65,0,Rod,1998.0
401.852,6466.312,0,AC,10240.5
435.748,5824.894,0,AC,2528.5
473.764,6067.77,0,MG,4679.0
442.498,6339.968,0,AC,4305.5
427.918,6534.406,0,BC,4736.5
7228.242,-5704.204,0,AC,18976.0
7813.176,-5725.426,0,AC,2181.0
8260.264,-5670.076,0,AC,2402.5
8430.618,-5576.402,0,AC,3879.5
8618.468,-5423.312,0,Rod,4531.0
8830.888,-5176.078,0,MG,1847.0
2170.91,-7178.238,0,AC,4588.0
2213.77,-7264.568,0,Rod,3183.0
-1346.216,-1264.46,0,AC,3829.5
-396.366,22.896,0,RGC,17242.5
-390.226,-148.808,0,HC,5398.0
-356.8,70.30799999999999,0,AC,2312.5
3369.56,774.906,0,Rod,1812.0
3345.314,969.236,0,Rod,3351.0
3413.338,830.78,0,Rod,3612.5
3685.914,195.048,0,Rod,2727.5
3618.684,411.556,0,AC,5697.0
4297.416,19.98,0,RGC,12658.0
4463.828,-206.464,0,Rod,2061.5
4812.852,-148.64600000000002,0,BC,5391.5
5410.206,14.04,0,Rod,2695.0
5417.874,0.17799999999999727,0,Rod,1714.5
5633.642,267.608,0,AC,1497.0
6301.574,1397.6399999999999,0,BC,5529.5
9410.368,2175.662,0,Rod,3589.5
9747.15,1593.698,0,Rod,1946.0
10726.468,1418.684,0,RGC,2518.0
10852.002,1453.676,0,AC,3339.0
12296.822,3029.862,0,MG,3727.5
12265.934,2714.048,0,Rod,5737.0
3284.078,7387.11,0,Rod,3531.0
3469.498,6984.248,0,Rod,2046.0
5261.182,6696.93,0,Rod,2928.5
5640.284,6813.23,0,Rod,2655.5
5839.096,7019.386,0,AC,6451.5
6115.83,7926.036,0,AC,4385.0
6108.054,8203.418,0,BC,4365.5
6213.176,8125.28,0,Rod,2749.0
-2447.936,5790.89,0,BC,2537.5
-2267.1059999999998,5400.286,0,BC,4629.0
-2187.526,5282.944,0,BC,6274.5
-2140.654,5195.21,0,Rod,2607.0
-1986.554,5033.75,0,Rod,4718.5
-1790.496,4942.452,0,BC,4477.5
-1584.826,4852.11,0,BC,4440.5
-1110.252,4776.634,0,Rod,2574.0
-783.422,4877.004,0,Rod,3996.5
435.856,5817.226,0,BC,2941.0
475.222,6040.23,0,AC,3350.5
446.548,6390.836,0,AC,4910.5
7230.348,-5767.06,0,AC,3863.5
7820.952,-5727.046,0,AC,6060.5
8261.668,-5674.72,0,AC,2182.0
8416.308,-5703.34,0,Rod,3851.0
8431.482,-5567.114,0,AC,5898.0
8658.698,-5369.706,0,AC,4728.0
8620.574,-5409.974,0,AC,3471.0
2173.3940000000002,-7185.366,0,MG,3563.5
2223.436,-7165.17,0,AC,3507.5
2214.364,-7251.716,0,Rod,3167.0
-394.908,52.704,0,AC,9671.5
-433.248,-65.81,0,RGC,4164.5
-471.372,-281.2,0,RGC,2059.5
-549.726,-584.394,0,AC,3752.0
-356.692,75.708,0,AC,2835.0
3370.64,782.25,0,Rod,2617.0
3414.202,825.758,0,BC,1625.0
3685.86,203.634,0,Rod,1777.5
4017.172,31.806,0,BC,2968.0
4613.23,-120.404,0,AC,6060.5
5159.948,11.934,0,AC,1668.0
5221.168,23.112,0,MG,3487.0
5545.476,219.17,0,RGC,13525.0
5423.652,-1.9819999999999993,0,Rod,3383.5
5634.614,220.844,0,AC,4470.0
9586.786,1789.864,0,Rod,1768.5
9816.146,1646.494,0,AC,2747.5
10733.002,1424.84,0,AC,3630.0
12297.308,3048.816,0,MG,1601.0
12268.58,2733.812,0,RGC,3463.0
3285.32,7393.374,0,Rod,3749.5
3247.466,7503.41,0,Rod,2428.0
4563.35,6618.792,0,Rod,2054.5
5058.158,6687.534,0,Rod,1568.5
5616.632,6782.844,0,Rod,4202.0
5641.796,6832.508,0,AC,5070.5
5923.444,7247.952,0,AC,3027.5
5839.636,7143.856,0,RGC,3923.0
6108.648,8185.274,0,AC,3737.5
6096.93,8224.624,0,AC,6538.5
-2444.21,5754.818,0,BC,3996.0
-2357.934,5596.128,0,BC,5476.5
-2186.662,5223.706,0,Rod,2726.5
-2136.442,5190.35,0,Rod,4320.5
-1985.96,5075.168,0,AC,3261.0
-1370.786,4799.26,0,AC,2774.0
-1105.122,4780.738,0,Rod,1931.5
-776.294,4875.384,0,Rod,4858.0
436.882,5833.21,0,AC,4943.5
476.356,6147.258,0,AC,5818.0
446.656,6397.586,0,AC,5034.5
428.728,6501.682,0,MG,6144.0
7232.454,-5759.284,0,AC,2072.5
8416.2,-5616.076,0,BC,3589.5
8621.924,-5403.818,0,AC,4827.0
8832.4,-5180.344,0,AC,1366.5
2224.192,-7179.858,0,BC,4473.5
2214.904,-7226.066,0,Rod,1018.0
-1343.948,-1257.548,0,AC,4474.5
-394.746,41.202,0,RGC,11285.5
-431.736,-80.552,0,AC,3140.0
-546.27,-590.658,0,AC,3633.5
3349.796,954.44,0,Rod,3724.5
3434.884,575.446,0,Rod,2908.0
3687.858,208.81799999999998,0,Rod,1507.0
3627.108,458.212,0,RGC,15062.5
4019.062,52.92,0,AC,4107.5
4314.804,9.774,0,AC,13097.5
4612.312,-155.666,0,RGC,6401.5
5160.812,43.2,0,AC,3243.5
5222.41,9.936,0,BC,4784.0
5410.584,82.566,0,BC,3455.0
5424.246,5.361999999999995,0,Rod,3026.5
5809.882,311.402,0,BC,4382.5
6305.786,1380.846,0,AC,5557.0
9372.53,2358.706,0,Rod,2111.0
